1081	1326	3841	9216	9386
257	3177	3211	419	10234
327	415	8676	2969	1672
907	495	7508	8353	1186
247	4554	9354	411	1969
265	1223	9388	1239	3432
397	11050	9687	4961	7401
2767	1406	1235	9110	9965
4737	1196	260	6953	1402
347	365	5025	6763	798
3257	234	1214	9980	4712
2223	202	856	764	5834
3319	1530	696	1938	9418
1026	1265	7390	1643	2940
1268	3955	554	3150	1204
390	2558	2782	2129	2748
1528	2013	2156	10529	6636
1310	2896	1923	693	5667
236	733	453	13500	5998
1736	1221	798	6389	773
958	2914	1153	5622	13248
1737	794	92	181	4935
709	2120	239	3578	24102
2025	625	20912	1506	13884
316	38	1530	4884	11415
561	2745	3675	8566	488
3832	3866	3423	4886	13733
2358	278	4865	6357	28
1167	1085	1253	6228	5632
2163	5977	3191	1318	1541
741	703	10795	1768	2803
1733	2868	724	1848	3158
462	1952	357	12172	22000
53	2085	359	12982	10451
2937	650	6272	5567	586
1103	745	2445	4578	5518
72	2011	847	5963	8027
1855	2932	3831	16287	1319
784	2509	4918	10897	10093
918	1316	1018	1396	1231
2297	954	4918	676	17807
1042	6363	12514	9518	38
876	7154	5432	3872	5387
475	1124	1387	16884	3782
243	482	11311	3958	4288
316	2438	3766	9214	4013
1477	1214	3724	3523	1055
369	1295	4990	670	9093
1122	928	830	555	4414
1747	4609	13346	6454	429
734	3820	1331	2077	1406
142	41	934	628	11366
398	831	7817	7849	11
3410	3465	5738	2669	17934
1926	4012	172	1003	42156
2058	1870	2249	1930	477
1186	1224	1251	1832	2131
1886	4073	1611	2732	3641
357	2458	946	6388	10969
286	4359	599	339	562
240	43	2157	2707	477
687	914	3752	4658	8521
217	6628	5658	803	17716
761	1229	13135	672	2662
2845	4152	840	5410	33017
1359	1324	3452	3550	4425
118	427	224	525	208
1187	355	1403	736	13411
407	159	3175	6530	7969
155	876	1768	9661	1068
2382	1318	603	7543	3274
2190	823	9107	913	11534
1271	740	5567	3061	994
289	799	1420	13127	3018
1268	140	488	2086	6090
1122	413	4816	5472	11911
80	4	2998	1853	1992
802	9931	699	12464	6614
1206	262	4068	300	788
297	1358	3741	583	2583
1540	1352	4444	10767	2201
12	3396	872	11956	2711
4135	385	266	10064	6557
1425	5077	6217	811	884
2122	10681	11129	9488	5351
654	3385	1206	9430	5366
1325	2349	2025	2729	17711
774	11327	240	1361	651
2327	8149	93	760	1843
1087	1085	3793	3511	929
3856	2986	1618	3511	14297
642	341	5625	929	3931
3775	1076	5642	1664	2836
3464	3179	7257	7002	18616
1301	513	4943	4603	4620
3	8008	4162	11345	437
154	1233	9399	11453	188
2445	7129	1053	1311	1616
596	1959	9796	12362	26560
1578	5868	1494	4327	2672
