2584	1307	439	1295	21
7093	3764	2612	645	432
1031	1293	1254	339	90
6577	2353	2310	314	119
3724	4008	484	627	33
2129	4907	1622	582	92
5523	4454	1107	321	75
6539	4573	961	811	14
1180	3527	624	388	113
4721	1199	1262	557	31
4273	5894	2185	886	96
3629	4836	885	1139	229
1800	1744	732	482	178
2636	1604	1493	424	239
1953	608	1351	129	131
5503	1103	2851	224	359
4493	352	2643	124	136
5229	2039	1436	342	216
1347	3988	2876	497	74
1385	2563	1652	1200	82
2298	565	930	323	171
593	1946	780	187	15
7466	128	47	320	193
2315	2039	193	536	494
1026	952	1004	665	92
3696	1898	1109	187	114
1830	1800	1355	982	434
2215	7092	1068	5	256
1083	2318	521	651	263
838	2149	164	30	17
6282	175	474	216	61
4288	476	2100	591	43
1685	631	222	156	34
9016	4173	347	318	3
457	53	431	328	112
16700	2991	340	284	9
1898	1828	673	354	35
2093	2643	47	1009	146
1953	246	24	320	708
5924	878	1072	489	60
3774	2156	501	106	339
323	203	347	99	40
10563	3578	207	211	160
1612	2334	867	358	52
2966	3098	815	86	187
2849	3118	162	162	436
11720	1784	3734	114	136
4204	1024	723	892	7
2540	3269	2527	985	12
1938	3964	1035	154	605
441	976	270	179	114
2518	32	657	687	20
2023	1618	5120	133	139
4199	332	182	75	4
1128	2857	174	77	185
1672	253	126	135	700
4775	1039	917	407	123
4863	259	1276	525	75
1227	833	705	223	241
6186	228	743	25	48
96	1737	189	197	43
3355	405	66	411	5
6485	3415	1062	213	1
1616	2084	161	18	5
1165	97	998	713	201
4617	38	36	121	254
2243	564	2216	28	5
11646	2868	1209	3	103
2596	137	1027	74	208
4021	396	2728	536	69
7876	3715	330	7	165
398	1980	62	69	232
111	595	1430	144	162
1290	150	813	364	16
4789	669	340	1165	243
1137	1088	2957	662	127
2800	376	1731	398	211
925	1057	955	711	16
1300	935	242	1540	10
1492	1351	211	17	3
658	4121	379	153	427
1043	2122	651	96	43
806	737	2433	299	218
4612	2750	2770	458	114
5410	281	331	296	97
350	832	730	1192	197
1184	5731	58	189	239
9291	1061	1291	674	1
11	40	1312	901	511
868	9205	24	351	30
6014	13917	1061	511	89
12120	12252	4047	245	68
411	1234	137	224	197
1469	2082	184	195	7
1391	2756	317	1870	156
5000	2446	3020	584	15
2803	2906	586	768	220
580	2355	1451	103	50
559	33	840	142	312
654	2830	3	1130	87
